# y	x
[1 5 6 2 8]	[9 6 0 5 9 3 4 3 1 4]
[0 7 9 7 5]	[3 4 1 8 2 4 6 9 0 4]
[0 6 3 7 8]	[0 6 0 3 6 0 9 9 0 4]
[0 8 0 0 4]	[4 3 7 2 4 5 5 9 0 4]
[1 3 3 5 5]	[9 3 7 6 0 5 1 3 1 4]
[1 1 6 6 0]	[1 9 9 7 4 1 3 7 0 4]
[1 4 4 4 8]	[7 6 7 7 4 0 4 3 1 4]
[1 6 2 6 5]	[8 7 3 8 7 9 2 2 1 4]
[1 4 1 2 9]	[7 6 9 2 1 1 5 4 0 4]
[1 4 8 5 0]	[8 6 1 6 6 8 4 6 0 4]
[1 6 8 5 4]	[8 8 0 7 9 6 4 0 0 4]
[1 3 9 2 1]	[8 5 4 4 8 3 2 9 0 4]
[1 2 5 7 7]	[9 3 0 5 7 0 5 1 1 4]
[1 4 6 7 0]	[5 8 7 8 9 7 3 7 0 4]
[1 2 3 1 0]	[4 7 7 5 7 3 7 2 1 4]
[0 8 3 5 2]	[0 8 1 2 4 0 7 5 0 4]
[0 8 9 9 6]	[5 3 0 9 1 7 6 9 1 4]
[1 2 5 4 9]	[8 3 6 9 4 0 3 6 0 4]
[1 1 3 7 7]	[7 3 4 9 2 4 8 9 0 4]
[0 4 8 9 2]	[0 4 2 6 3 5 7 5 0 4]
[0 6 5 0 0]	[2 3 6 8 6 3 9 1 0 4]
[1 3 3 4 3]	[6 7 0 2 7 6 8 4 1 4]
[0 8 9 7 4]	[5 3 8 1 1 5 8 5 1 4]
[1 4 3 5 8]	[6 7 7 5 9 6 8 0 0 4]
[0 9 9 1 5]	[0 9 3 5 1 9 9 6 0 4]
[0 7 3 5 4]	[2 4 6 7 1 3 9 5 0 4]
[0 4 8 7 5]	[2 2 8 0 2 4 9 5 1 4]
[1 2 2 2 5]	[2 9 5 6 4 8 4 1 0 4]
[0 3 6 4 2]	[1 2 0 5 4 9 9 2 1 4]
[1 3 9 5 9]	[7 6 2 7 1 4 3 6 0 4]
[0 9 0 4 4]	[1 7 8 2 3 0 9 4 1 4]
[1 5 1 0 3]	[5 9 1 9 1 8 7 6 0 4]
